"id","ten_tac_pham","tac_gia","nam","the_loai","phong_trao","thoi_ky","tom_tat","gia_tham_khao_vnd","tiki_link","nguon_gia","ban_thuong_mai","ghi_chu_gia"
"hich_tuong_si","Hịch tướng sĩ","Trần Quốc Tuấn","1285","Nghị luận trung đại","Văn học trung đại","Trung đại","Bài hịch Trần Quốc Tuấn viết để khích lệ tướng sĩ học tập Binh thư yếu lược và nêu cao ý chí quyết chiến chống quân Mông-Nguyên. Tác phẩm vạch trần tội ác giặc, bày tỏ lòng căm thù và phê phán thói hưởng lạc, cầu an của một số tướng sĩ.","16900","https://tiki.vn/search?q=H%E1%BB%8Bch%20t%C6%B0%E1%BB%9Bng%20s%C4%A9%20Tr%E1%BA%A7n%20Qu%E1%BB%91c%20Tu%E1%BA%A5n","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHOZfI3HNEv113Tb7uvkD7-FACsg3B8dL07LZYXt5vJ2cVQd-lq5fNhyBYrdWRMcX2FQEpjbOIoYBYybl7bngH4B660W0VGrbZf31YNOBdjbh-33lPECztWoX16Pqt7SU7IjRVKUNqAwXEpbcQaw7XpFUZfuU8k6KFkgApS","Bản lẻ (bán riêng)","Bán rời"
"binh_ngo_dai_cao","Bình Ngô đại cáo","Nguyễn Trãi","1428","Nghị luận trung đại","Văn học trung đại","Trung đại","Áng thiên cổ hùng văn Nguyễn Trãi thừa lệnh Lê Lợi viết để tuyên cáo thắng lợi của khởi nghĩa Lam Sơn chống quân Minh. Tác phẩm nêu tư tưởng nhân nghĩa, khẳng định độc lập chủ quyền của Đại Việt và tố cáo tội ác quân xâm lược.","","https://tiki.vn/search?q=Nguy%E1%BB%85n%20Tr%C3%A3i%20To%C3%A0n%20T%E1%BA%ADp","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE0fYjf_EQRL0KoifAbB5Rc0WWV2J_UmkV1kjjVl7Pu_YLubxvjMC5QOU1qUo0HDvzOA7aHCVH6kYYdUzgp9aaqtZV0hvFfn_Z5P41FSDGo375cy-XYVUgt_JhJbHIIP8FXUo3VPCT4nA==","Nguyễn Trãi Toàn Tập","Chưa có giá bán rời"
"nguoi_con_gai_nam_xuong","Chuyện người con gái Nam Xương","Nguyễn Dữ","1547","Truyện truyền kỳ","Văn học trung đại","Trung đại","Truyện kể về Vũ Nương, người phụ nữ đức hạnh bị chồng là Trương Sinh nghi oan thất tiết chỉ vì lời nói ngây thơ của con trẻ, phải gieo mình xuống sông tự vẫn. Tác phẩm ca ngợi phẩm chất người phụ nữ và tố cáo xã hội phong kiến nam quyền.","360000","https://tiki.vn/search?q=Truy%E1%BB%81n%20k%E1%BB%B3%20m%E1%BA%A1n%20l%E1%BB%A5c","","Truyền kỳ mạn lục","Nằm trong tuyển tập 'Truyền kỳ mạn lục' — giá hiển thị là giá tuyển tập"
"chinh_phu_ngam","Chinh phụ ngâm","Đặng Trần Côn","1741","Ngâm khúc","Văn học trung đại","Trung đại","Khúc ngâm thể hiện nỗi cô đơn, sầu muộn và khát khao hạnh phúc lứa đôi của người chinh phụ có chồng ra trận. Tác phẩm là tiếng nói phản đối chiến tranh phong kiến phi nghĩa và đề cao quyền sống, quyền hưởng hạnh phúc của con người.","","https://tiki.vn/search?q=B%C3%B9i%20Gi%C3%A1ng-Tuy%E1%BB%83n%20T%E1%BA%ADp%20Lu%E1%BA%ADn%20%C4%90%E1%BB%81","","","Chưa có giá bán rời"
"hoang_le_nhat_thong_chi","Hoàng Lê nhất thống chí","Ngô gia văn phái","1800","Tiểu thuyết chương hồi","Văn học trung đại","Trung đại","Tiểu thuyết lịch sử chương hồi tái hiện xã hội Việt Nam cuối thời Lê-Trịnh với sự sụp đổ của các tập đoàn phong kiến và chiến công đại phá quân Thanh của vua Quang Trung - Nguyễn Huệ.","101200","https://tiki.vn/search?q=Ho%C3%A0ng%20L%C3%AA%20nh%E1%BA%A5t%20th%E1%BB%91ng%20ch%C3%AD%20Ng%C3%B4%20gia%20v%C4%83n%20ph%C3%A1i","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHKXWAntyHzGXwSMIoTbMVzUhkDC43XNOVy0iIWgmWEVyLUWVXJdjEgzsc48Zy5oSMLxUUPZXsQI3RG6a506Ksv1uOLt5bt84QlSxPiCpr7KcZz2PtZfuOdA1LkhQhG0iHplEc4Ifn0hiLuX3LowNzU1DX3UrNePOFLQ2HfDd4O","Bản lẻ (bán riêng)","Bán rời"
"truyen_kieu","Truyện Kiều","Nguyễn Du","1820","Truyện thơ Nôm","Văn học trung đại","Trung đại","Truyện thơ Nôm kể mười lăm năm lưu lạc đoạn trường của Thúy Kiều, người con gái tài sắc phải bán mình chuộc cha, chịu bao khổ nhục trước khi đoàn tụ. Tác phẩm mang giá trị nhân đạo sâu sắc, tố cáo xã hội phong kiến và thế lực đồng tiền chà đạp con người.","68000","https://tiki.vn/search?q=Truy%E1%BB%87n%20Ki%E1%BB%81u%20Nguy%E1%BB%85n%20Du","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHReiVjclN7uUNF667sfexQxFY9vCkXMmaqbb3hj2fuE9q3Xgcu307rlrLdSCG6vwQ47Hwm49Wzb8QJ_MHydhpVSX5_SHyCSzLUP46WtCM7xH63VkCnYXMjz7DPB4C6m4d9IW4k55GZjXdTX9h0sOmplsA=","Bản lẻ (bán riêng)","Bán rời"
"luc_van_tien","Lục Vân Tiên","Nguyễn Đình Chiểu","1851","Truyện thơ Nôm","Văn học trung đại","Trung đại","Truyện thơ Nôm kể về chàng Lục Vân Tiên tài đức và nàng Kiều Nguyệt Nga thủy chung, trải qua nhiều gian truân oan trái rồi được đền đáp. Tác phẩm đề cao đạo lý nhân nghĩa, trung hiếu tiết hạnh và tinh thần trọng nghĩa khinh tài.","117000","https://tiki.vn/search?q=L%E1%BB%A5c%20V%C3%A2n%20Ti%C3%AAn%20Nguy%E1%BB%85n%20%C4%90%C3%ACnh%20Chi%E1%BB%83u","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEiq4lX1EtzqFbetke_oq1l9zLJ1xB9lBG0QaD3JN1W1Ls1eqZD9W56KK1mFfNUvOo7OouUQSeLqAO2fOtIs64drnKDzoiXCwFHJDwReR8H741gv5hK3NV3RrztFHYlZmmauqMDRxgfOz58Y8PXVYntfn__HykiNai6G5M7Eyl_ckF6wwZEHApeZwwJyJTjzvpNSw0w-AbjvjA=","Bản lẻ (bán riêng)","Bán rời"
"to_tam","Tố Tâm","Hoàng Ngọc Phách","1925","Tiểu thuyết","Lãng mạn","1930-1945","Một trong những tiểu thuyết lãng mạn đầu tiên của văn học Việt Nam hiện đại, kể mối tình bi kịch giữa Tố Tâm và Đạm Thủy không đến được với nhau do ràng buộc của lễ giáo phong kiến. Tác phẩm đề cao tình yêu tự do và cái tôi cá nhân.","60000","https://tiki.vn/search?q=T%E1%BB%91%20T%C3%A2m%20Ho%C3%A0ng%20Ng%E1%BB%8Dc%20Ph%C3%A1ch","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFLu1rYSZlT46T6KxLPQrv_BXCgABmoWNzd1A2vOrrDUUK3pr0btO6oh2fpdqtlPjQCsTQuzoucEmZ3kvv9M0H5CeQKstChxl5vSOicu7US8csFVorSvNd827rLmgxTDz43IfhNDXQUGHOZUGHZrRgIjtJVBrJciN8=","Bản lẻ (bán riêng)","Bán rời"
"so_do","Số đỏ","Vũ Trọng Phụng","1936","Tiểu thuyết","Hiện thực phê phán","1930-1945","Tiểu thuyết trào phúng kể về Xuân Tóc Đỏ, kẻ lưu manh vô học nhờ may mắn và thời cuộc mà leo lên địa vị cao trong xã hội thượng lưu. Tác phẩm châm biếm sâu cay xã hội tư sản thành thị Âu hóa rởm đời, lố lăng đương thời.","75460","https://tiki.vn/search?q=S%E1%BB%91%20%C4%91%E1%BB%8F%20V%C5%A9%20Tr%E1%BB%8Dng%20Ph%E1%BB%A5ng","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHdDUWPBo5eeft3jXbhslatoUQpFqS58lQxoL1X5NzkBh-2DED3DXOQxapQGCd-dijfW2r4uA7_zxBD9AE-HW9T2sFlKPsI4DzKDlUM87C9Redb8HJUR7SWgSv3hQ13ZfhCyM4D","Bản lẻ (bán riêng)","Bán rời"
"giong_to","Giông tố","Vũ Trọng Phụng","1936","Tiểu thuyết","Hiện thực phê phán","1930-1945","Tiểu thuyết phơi bày xã hội thực dân phong kiến thối nát qua số phận Thị Mịch, cô gái quê bị Nghị Hách cưỡng hiếp, cùng những mưu toan và dục vọng của giới thượng lưu giàu có. Tác phẩm mang giá trị hiện thực và tố cáo mạnh mẽ.","64500","https://tiki.vn/search?q=Gi%C3%B4ng%20t%E1%BB%91%20V%C5%A9%20Tr%E1%BB%8Dng%20Ph%E1%BB%A5ng","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG1tXISyHcuCXCxm8wWlvKUpSGsF9dz_epoMXRekx7NaA0lniz3nkYshAY7GxS6J07hn48zYtG-6z5RDJU4N5qCgisnGagMZ0QzwE7YhRhVS6mxF-RplgRmyCs8tQ==","Bản lẻ (bán riêng)","Bán rời"
